reviews	canonical_rebuttals
"The paper not only claims 'large scale representation learning' but also utilizing the described idea to use neural networks to ""directly, approximately solve non-convex NP-hard optimization problems that arise naturally in unsupervised learning problems."" Both claims are not really shown in the paper: (i) The experiments are not large scale and (ii)  it becomes not clear how any substantiate insight with respect to NP-hard problems can be gained here apart from the fact that it tackles a ML problem, which many seem to be computationally hard problems.' [SEP] 'rebuttal_mitigate-criticism"	This is, once again, motivated by making something work with modest amount of computation.
So at the end, I am a bit puzzled. I really like the idea, but I have the feeling that this technique should have been developed for more complicated setting. Or maybe it is actually not working on more difficult combinatorial problem (and this is hidden in the paper).' [SEP] 'rebuttal_mitigate-criticism	This is, once again, motivated by making something work with modest amount of computation.
In this simple model, can we not calculate the mutual information directly (i.e., without the bottleneck)?' [SEP] 'rebuttal_reject-request	Footnote 2 warned the reader about this, as we know it is unusual.
"- My main concern is reproducibility: the authors employ a number of large architectures, complex loss functions, and regularizers / ""additional improvements"".' [SEP] 'rebuttal_reject-request"	Footnote 2 warned the reader about this, as we know it is unusual.
This was a fun, albeit incremental paper.' [SEP] 'rebuttal_concede-criticism	[A1] As the reviewer pointed out, we adopted the partial components with the previously proposed techniques or methodologies.
Overall, this paper is good, but is not novel or important enough for acceptance.' [SEP] 'rebuttal_concede-criticism	[A1] As the reviewer pointed out, we adopted the partial components with the previously proposed techniques or methodologies.
The empirical evaluation is quite weak- one sparsity setting, two baselines, one dataset' [SEP] 'rebuttal_done	"You can check the details in the appendix of the paper, the paragraph of ""Applying Our Proposed Metric on FFHQ""."
Regarding contrastive explanations, experiments on datasets where distractor classes (y_probe) are present in addition to the class interest (y_true) seem important -- PASCAL VOC, COCO, etc.' [SEP] 'rebuttal_done	"You can check the details in the appendix of the paper, the paragraph of ""Applying Our Proposed Metric on FFHQ""."
While the comparison with HSIC is a helpful one, it is also required to compare with the competing method closest to yours, i.e.' [SEP] 'rebuttal_done	Complementary experiments have thus been performed, and tables 1, 2 updated.
The authors acknowledge this connection, but I think they should begin by introducing CE and then explain how Cakewalk generalizes it.' [SEP] 'rebuttal_done	Complementary experiments have thus been performed, and tables 1, 2 updated.
