descs	scores
Limited generalizability of claims on other datasets [SEP] rebuttal_done [SEP] In light of the reviews, in the revised version, we have expanded the appendix to give more details on the experimental protocol.	0.3508773619358619
Limited generalizability of claims on other datasets [SEP] rebuttal_done [SEP] We found that this heuristic works very well in our experiments (the results have updated to reflect on this heuristic).	0.649122638064138
correctness of results presented is questionable(eg., metrics, complexity, etc) [SEP] rebuttal_answer [SEP] Again, we think the exact inference accuracy of the model is somewhat orthogonal to our study.	0.1334172456785001
correctness of results presented is questionable(eg., metrics, complexity, etc) [SEP] rebuttal_answer [SEP] Still, we pursued two directions.	0.1712191370351586
correctness of results presented is questionable(eg., metrics, complexity, etc) [SEP] rebuttal_answer [SEP] We tried this path, but soon realized we would not be done in time (especially with a hyperparameter search).	0.2439874587384383
correctness of results presented is questionable(eg., metrics, complexity, etc) [SEP] rebuttal_answer [SEP] We focus on the noiseless case here to convey the main idea, since the analysis is already very involved.	0.4513761585479028
correctness of results presented is questionable(eg., metrics, complexity, etc) [SEP] rebuttal_reject-criticism [SEP] The selling point isn't the generality of the result, but rather the novelty of the approach and the potential it suggests for future work that would be more general.	0.3508773619358619
correctness of results presented is questionable(eg., metrics, complexity, etc) [SEP] rebuttal_reject-criticism [SEP] In that case, many cutting edge ideas will by necessity be excluded from the discussion, as will many research groups.	0.649122638064138
correctness of results presented is questionable(eg., metrics, complexity, etc) [SEP] rebuttal_future [SEP] For these reasons (and more provided below), we thus think it more fair (and necessary) to make such experiments the subject of a future paper.	0.1975795937322861
correctness of results presented is questionable(eg., metrics, complexity, etc) [SEP] rebuttal_future [SEP] We agree on this remark, the idea of scaling scores is right and would improve the interpretability of our benchmarks.	0.2815511087403978
correctness of results presented is questionable(eg., metrics, complexity, etc) [SEP] rebuttal_future [SEP] It is definitely a good idea to analyse the correlation between changes in classification accuracy and in FSM values, thank you. We will rigorously investigate this in future work.	0.5208692975273159
correctness of results presented is questionable(eg., metrics, complexity, etc) [SEP] rebuttal_done [SEP] We have modified our text to avoid possible misunderstandings (see end of next-to-last paragraph in Section 4).	0.0991274512750463
correctness of results presented is questionable(eg., metrics, complexity, etc) [SEP] rebuttal_done [SEP] Furthermore, we present an experimental investigation of these different objectives (Sec. 6.4).	0.1201921274650668
correctness of results presented is questionable(eg., metrics, complexity, etc) [SEP] rebuttal_done [SEP] Thanks for pointing this out, we fixed this in the updated version of the paper we just posted.	0.1542466413058904
correctness of results presented is questionable(eg., metrics, complexity, etc) [SEP] rebuttal_done [SEP] -> Added a comment to “Practical Implications” in the revision	0.219801450657675
correctness of results presented is questionable(eg., metrics, complexity, etc) [SEP] rebuttal_done [SEP] 10. Thank you for pointing these typos out, we have addressed it in the revision.	0.4066323292963215
generalizability of method on datasets created from different distributions is questionable [SEP] rebuttal_done [SEP] We added a new Section 4 in the revised version of the paper discussing these differences.	0.3508773619358619
generalizability of method on datasets created from different distributions is questionable [SEP] rebuttal_done [SEP] We found that this heuristic works very well in our experiments (the results have updated to reflect on this heuristic).	0.649122638064138
claims on the datasets is questionable [SEP] rebuttal_concede-criticism [SEP] We apologize for unclear description of experimental settings.	0.1334172456785001
claims on the datasets is questionable [SEP] rebuttal_concede-criticism [SEP] We agree that an ablation study on robustness of the embeddings across different datasets would be very interesting.	0.1712191370351586
claims on the datasets is questionable [SEP] rebuttal_concede-criticism [SEP] See our response to Shengyang Sun’s comment below.	0.2439874587384383
