reviews	descs
The main appeal is the idea of using T to model syntactic interactions, and the algorithm for learning T. Given that the main attraction of the paper is the potential for more performant word embeddings, I do not believe the work will have wide appeal to ICLR attendees, because no evidence is provided that the features from the learned tensor, say [a, b, T*a*b], are more useful in downstream applications than [a,b] (one experiment in sentiment analysis is tried in the supplementary material with no compelling difference shown).	More variations of experiments needs to be added
Also it seems that the regular batch normalization could be very sensitive to domain shifts, and it would be good if the authors can test other normalization schemes such as layer/group normalization as baselines.	More variations of experiments needs to be added
The paper is not very self contained.	Lacking clarity overall (needs better presentation)
5. The paper is imprecise and unpolished and the presentation needs improvement.	Lacking clarity overall (needs better presentation)
Due to several shortcomings of the paper, most important of which is on presentation of the paper, this manuscript requires a significant revision by the authors to reach the necessary standards for publication, moreover it would be helpful to clarify the modeling choices and consequences of these choices more clearly.	While sensible, this seems to me to be too minor a contribution to stand alone as a paper.
This could have made the paper much stronger.	While sensible, this seems to me to be too minor a contribution to stand alone as a paper.
However the theoretical contribution is poor. And the experiment uses a very classical benchmark providing simulated data.	Not enough novelty in experiments (seems similar to previous work)
Even though the proposed approach seems to have significant potential, the experimental	Not enough novelty in experiments (seems similar to previous work)
Fig 4 is very confusing.	Incorrect presentation of tables and figures (plots, typos in tables and figs. description of plot)
2. table 2: Dynamic -> Adaptive?	Incorrect presentation of tables and figures (plots, typos in tables and figs. description of plot)
A number of these references are missing and no experimental comparison to these methods has been made.	Missing baselines
The reviewer is also interested to see how the the generalization bound introduced in this paper is related to the recent theoretical works [3],[4] on MDL.	Missing baselines
Hence, I am not very sure whether the novelty of the paper is significant.	Overall not original enough (primary claim, limited evaluation, limited novelty)
Overall, I think this paper is not good enough for an ICLR paper and the presentation is confusing in both its contributions and its technical novelty.	Overall not original enough (primary claim, limited evaluation, limited novelty)
The justification that the method of Khadka & Tumer (2018) cannot be extended to use CEM, since the RL policies do not comply with the covariance matrix is unclear to me.	incorrect claims for related work
You should use an existing ES implementation (e.g., from some well-known package) instead of a naive implementation, and as additional baseline also CMA-ES.	incorrect claims for related work
I don't think Cakewalk is different enough from the cross-entropy method to warrant acceptance in ICLR.	Limited novelty in theoretical contribution
The proposed technique is heavily dependent on GBDT (Indeed the algorithm and the learned trees are used at least three times).	Limited novelty in theoretical contribution
- experiments are performed using a synthetic setup on a single data set, so it remains unclear if the algorithm would be successful in a real life scenario	Not enough info on dataset and hyper-parameters
- Given the small size of the dataset, I would propose experimenting with non-neural approaches as well, which are also quite common in NLG.	Not enough info on dataset and hyper-parameters
My biggest concern is the lack of comparison with other representation learning methods, which is a very well studied problem.	Missing theoretical comparisons
And while there is an argument to be made for the inherent interestingness of exploring these questions, this angle would be more compelling if multiple encoder architectures were explored and compared.	Missing theoretical comparisons
The introduction contains a few statements that may paint an incomplete or confusing picture of the current literature in adversarial attacks on neural networks:	Incorrect claims in introduction (confusing related work presented in intro, wrong claims)
