reviews	descs
2. during sampling, either training or testing, how do authors handle temporal overlap or make it overlap?	Lack of experimental details (no of images, sampling criteria, etc)
However, you are in a different computational model in which you now have access to an oracle.	Theoretical misunderstanding in methodology
2. In experiments, the authors explored many existing methods on improving	2. In experiments, the authors explored many existing methods on improving
- Although disc can be easily estimated in the regression task (differently from d_A distance which is a special case of disc), there are no experimental results of the regression task even in the synthetic data.	Need more experimental results
* p.4 first paragraph you claim that this method responds well to data which exhibits seasonality, but none of your datasets deal with data that would exhibit seasonality.	Lack of discussion of performance of method on different datasets
The two ideas (use of grids, and intra-life curiosity vs inter-life curiosity) should be independently investigated and put in context of past work.	The two ideas (use of grids, and intra-life curiosity vs inter-life curiosity) should be independently investigated and put in context of past work.
"-	How the first camera pose is initialized?"	Missing details on methodology (eg., use of notation, use on tasks, etc)
I would have liked to see results for both trivial baselines like random ranking as well as more informed baselines where we can estimate transfer potential using say k representation techniques, and then use that to help us understand how well it would do on the other representations.	I would have liked to see results for both trivial baselines like random ranking as well as more informed baselines where we can estimate transfer potential using say k representation techniques, and then use that to help us understand how well it would do on the other representations.
Having this in mind note that the theoretical results on stochastic variant presented in the paper are wrong.	correctness of results presented is questionable(eg., metrics, complexity, etc)
My biggest concern in the methodology, however, has to do with the selection of the matrix variate normal prior for the weights and the imposition of diagonal covariances (diag(a) and diag(b)).	Missing details on methodology (eg., use of notation, use on tasks, etc)
- Lambda sim and lambda s are used interchangeably. Please make it consistent.	Unclear description of method
How do you guarantee that the representation learned by the neural network still obeys the property of Choquet integral? What is your loss or your algorithm?	Missing details on methodology (eg., use of notation, use on tasks, etc)
You mention that negative mining should improve over this strategy. What does negative mining correspond to in this context? Are there bad rewrites better than others?	Missing details on methodology (eg., use of notation, use on tasks, etc)
This is clearly interested in as far as solving this particular task but does not provide any general insights for the design of (MA)RL algorithms.	Incomplete details on perfromance of the method
If this is the case, authors should state it more clearly in the paper that a large proportion of the gap in performance between MixMatch and ReMixMatch is the introduction of stronger transformations (Autoaugment style).	Unclear description of method
- While there seems to be a consistent improvement over TD3, this improvement is in some cases small (e,g. ants).	generalizability of results is questionable
They can indeed be subsumed by generalization bounds based on VC theory.	Correctness of algorithm proposed
- Sec 4.1:	Correctness of algorithm proposed
- Some parts of the paper feel long-winded and aimless.	3. The paper is not nicely written or rather easy to follow.
Not sure why Eqns. 2 and 9 need any parentheses	Unclear description of method
For example using LASSO / LARS like methods you can perhaps figure out a good reduced dimension set more efficiently.	Incomplete details on perfromance of the method
Moreover, authors should conduct experiments on state-of-the-art benchmarks, including natural images.	Experimental study not strong enough
The paper is not very self contained.	Lacking clarity overall (needs better presentation)
My biggest concern is the lack of comparison with other representation learning methods, which is a very well studied problem.	Missing theoretical comparisons
